id,transaction_per_day,age,weight,height,prosperity_level
1,22,75,66.42 kg,160.68 cm,High
2,22,57,71.37 kg,178.85 cm,High
3,20,38,76.75 kg,173.82 cm,Average
4,27,43,50.28 kg,152.88 cm,Average
5,20,88,70.86 kg,156.11 cm,High
6,,51,59.4 kg,174.35 cm,Average
7,22,53,62.27 kg,150.37 cm,Low
8,32,,51.23 kg,167.96 cm,Average
9,18,56,50.1 kg,176.4 cm,Average
10,47,36,75.28 kg,178.59 cm,Average
11,24,69,59.45 kg,170.88 cm,High
12,19,47,61.55 kg,160.31 cm,High
13,38,20,76.38 kg,164.53 cm,Average
14,27,26,59.3 kg,174.38 cm,Low
15,31,28,78.93 kg,170.98 cm,Average
16,19,65,70.73 kg,152.96 cm,High
17,22,58,67.91 kg,173.97 cm,High
18,35,31,61.59 kg,169.68 cm,Average
19,23,33,50.31 kg,167.4 cm,Low
20,36,44,66.43 kg,178.61 cm,Low
21,31,48,66.83 kg,175.29 cm,Low
22,21,37,71.32 kg,173.11 cm,Low
23,23,85,68.54 kg,159.48 cm,Average
24,24,61,62.53 kg,179.29 cm,Average
25,20,43,64.46 kg,170.15 cm,High
26,25,63,67.71 kg,176.61 cm,Average
27,35,51,67.88 kg,165.03 cm,Low
28,43,43,73.36 kg,172.14 cm,Low
29,14,91,56.64 kg,154.38 cm,High
30,28,47,77.26 kg,171.84 cm,Average
31,46,42,56.29 kg,152.9 cm,Low
32,14,55,78.88 kg,151.34 cm,High
33,26,95,77.78 kg,160.44 cm,High
34,23,57,69.27 kg,151.19 cm,High
35,25,37,76.3 kg,169.09 cm,Average
36,40,23,62.55 kg,163.79 cm,Average
37,20,82,57.06 kg,158.6 cm,Average
38,18,56,50.58 kg,164.77 cm,High
39,24,89,75.86 kg,162.28 cm,High
40,22,59,66.85 kg,154.45 cm,High
41,43,23,52.63 kg,167.21 cm,Low
42,28,50,69.87 kg,176.5 cm,Low
43,23,59,78.22 kg,152.33 cm,High
44,42,27,66.91 kg,178.3 cm,Average
45,42,45,55.15 kg,162.39 cm,Low
46,35,49,64.85 kg,157.3 cm,Average
47,47,27,76.93 kg,170.85 cm,Average
48,36,40,55.27 kg,171.75 cm,Average
49,18,23,77.93 kg,152.19 cm,Low
50,16,62,75.02 kg,178.6 cm,High
51,27,88,66.32 kg,174.28 cm,High
52,12,71,77.84 kg,171.09 cm,High
53,33,24,56.76 kg,162.74 cm,Average
54,30,,66.94 kg,160.66 cm,Average
55,25,40,52.52 kg,151.81 cm,Average
56,18,44,63.19 kg,175.71 cm,High
57,32,33,73.93 kg,178.57 cm,Average
58,13,78,68.46 kg,151.93 cm,Average
59,37,25,59.9 kg,150.61 cm,Low
60,22,44,67.48 kg,164.19 cm,Average
61,43,52,53.53 kg,168.8 cm,Average
62,22,46,,162.75 cm,Average
63,29,45,77.06 kg,158.7 cm,Average
64,23,62,50.94 kg,151.03 cm,High
65,20,41,67.94 kg,162.54 cm,Low
66,28,65,76.02 kg,160.22 cm,Average
67,42,38,71.56 kg,179.07 cm,Low
68,41,24,55.18 kg,152.66 cm,Average
69,14,68,60.57 kg,178.14 cm,Average
70,22,83,52.6 kg,155.32 cm,High
71,38,33,63.9 kg,168.87 cm,Low
72,21,59,54.38 kg,152.54 cm,High
73,22,69,76.04 kg,151.83 cm,Average
74,24,44,68.34 kg,173.03 cm,Low
75,46,27,55.14 kg,152.52 cm,Average
76,41,44,52.59 kg,155.6 cm,Average
77,39,37,69.82 kg,178.57 cm,Low
78,21,50,70.9 kg,167.22 cm,Average
79,31,39,78.69 kg,178.55 cm,Low
80,20,45,79.09 kg,176.26 cm,Average
81,39,50,53.17 kg,160.27 cm,Average
82,11,67,56.72 kg,150.59 cm,High
83,19,39,58.68 kg,155.04 cm,Low
84,26,74,79.87 kg,179.57 cm,High
85,21,60,53.97 kg,176.59 cm,Average
86,16,50,75.07 kg,157.66 cm,High
87,19,46,73.61 kg,174.55 cm,Low
88,26,62,72.78 kg,156.71 cm,High
89,20,75,,157.73 cm,High
90,29,28,68.91 kg,152.84 cm,Average
91,45,51,60.84 kg,163.46 cm,Average
92,17,64,76.7 kg,172.11 cm,Average
93,20,28,78.8 kg,174.98 cm,Average
94,26,64,78.35 kg,173.32 cm,High
95,31,25,72.07 kg,158.81 cm,Low
96,29,36,63.96 kg,154.88 cm,Average
97,18,37,53.16 kg,169.33 cm,Low
98,26,58,56.33 kg,157.88 cm,Low
99,26,78,67.25 kg,176.33 cm,Average
100,23,57,74.89 kg,153.38 cm,High
101,19,22,58.79 kg,170.77 cm,Low
102,22,76,79.49 kg,165.04 cm,Average
103,42,41,52.94 kg,171.08 cm,Low
104,18,59,64.06 kg,162.75 cm,Average
105,38,37,70.73 kg,172.5 cm,Low
106,18,,66.45 kg,155.52 cm,Average
107,39,20,61.14 kg,164.68 cm,Average
108,40,38,66.06 kg,157.51 cm,Average
109,18,59,75.83 kg,167.31 cm,Average
110,17,76,76.17 kg,179.46 cm,Average
111,23,54,58.73 kg,164.37 cm,High
112,31,44,50.42 kg,159.54 cm,Low
113,15,43,70.98 kg,157.65 cm,Average
114,11,73,78.86 kg,157.05 cm,High
115,29,94,64.99 kg,172.28 cm,Average
